GN|Bench|0	Louvain|GN|1	Infomap|GN|2	LLP|GN|0|3	LLP|GN|0.1|4	LLP|GN|0.2|5	LLP|GN|0.3|6	LLP|GN|0.4|7	LLP|GN|0.5|8	LLP|GN|0.6|9	LLP|GN|0.7|10	LLP|GN|0.8|11	LLP|GN|0.9|12	LLP|GN|1|13	Louvain|LFR|14	Infomap|LFR|15	LLP|LFR|0|16	LLP|LFR|0.1|17	LLP|LFR|0.2|18	LLP|LFR|0.3|19	LLP|LFR|0.4|20	LLP|LFR|0.5|21	LLP|LFR|0.6|22	LLP|LFR|0.7|23	LLP|LFR|0.8|24	LLP|LFR|0.9|25	LLP|LFR|1|26	GN|Bench|27	Louvain|GN|28	Infomap|GN|29	LLP|GN|0|30	LLP|GN|0.1|31	LLP|GN|0.2|32	LLP|GN|0.3|33	LLP|GN|0.4|34	LLP|GN|0.5|35	LLP|GN|0.6|36	LLP|GN|0.7|37	LLP|GN|0.8|38	LFR Bench|39	LLP|GN|0.9|40	LLP|GN|1|41	Louvain|LFR|42	Infomap|LFR|43	LLP|LFR|0|44	LLP|LFR|0.1|45	LLP|LFR|0.2|46	LLP|LFR|0.3|47	LLP|LFR|0.4|48	LLP|LFR|0.5|49	LLP|LFR|0.6|50	LLP|LFR|0.7|51	LLP|LFR|0.8|52	LLP|LFR|0.9|53	LLP|LFR|1|54	Louvain|GN|55	Infomap|GN|56	LLP|GN|0|57	LLP|GN|0.1|58	LLP|GN|0.2|59	LLP|GN|0.3|60	LLP|GN|0.4|61	LLP|GN|0.5|62	LLP|GN|0.6|63	LLP|GN|0.7|64	LLP|GN|0.8|65	LLP|GN|0.9|66	LLP|GN|1|67	Louvain|LFR|68	Infomap|LFR|69	LLP|LFR|0|70	LLP|LFR|0.1|71	LLP|LFR|0.2|72	LLP|LFR|0.3|73	LLP|LFR|0.4|74	LLP|LFR|0.5|75	LLP|LFR|0.6|76	LLP|LFR|0.7|77	LLP|LFR|0.8|78	LLP|LFR|0.9|79	LLP|LFR|1|80	Louvain|GN|81	Infomap|GN|82	LLP|GN|0|83	LLP|GN|0.1|84	LLP|GN|0.2|85	LLP|GN|0.3|86	LLP|GN|0.4|87	LLP|GN|0.5|88	LLP|GN|0.6|89	LLP|GN|0.7|90	LLP|GN|0.8|91	LLP|GN|0.9|92	LLP|GN|1|93	Louvain|LFR|94	Infomap|LFR|95	LLP|LFR|0|96	LLP|LFR|0.1|97	LLP|LFR|0.2|98	LLP|LFR|0.3|99	LLP|LFR|0.4|100	LLP|LFR|0.5|101	LLP|LFR|0.6|102	LLP|LFR|0.7|103	LLP|LFR|0.8|104	LLP|LFR|0.9|105	LLP|LFR|1|106	Louvain|GN|107	Infomap|GN|108	LLP|GN|0|109	LLP|GN|0.1|110	LLP|GN|0.2|111	LLP|GN|0.3|112	LLP|GN|0.4|113	LLP|GN|0.5|114	LLP|GN|0.6|115	LLP|GN|0.7|116	LLP|GN|0.8|117	LLP|GN|0.9|118	LLP|GN|1|119	Louvain|LFR|120	Infomap|LFR|121	LLP|LFR|0|122	LLP|LFR|0.1|123	LLP|LFR|0.2|124	LLP|LFR|0.3|125	LLP|LFR|0.4|126	LLP|LFR|0.5|127	LLP|LFR|0.6|128	LLP|LFR|0.7|129	LLP|LFR|0.8|130	LLP|LFR|0.9|131	LLP|LFR|1|132	Louvain|GN|133	Infomap|GN|134	LLP|GN|0|135	LLP|GN|0.1|136	LLP|GN|0.2|137	LLP|GN|0.3|138	LLP|GN|0.4|139	LLP|GN|0.5|140	LLP|GN|0.6|141	LLP|GN|0.7|142	LLP|GN|0.8|143	LLP|GN|0.9|144	LLP|GN|1|145	Louvain|LFR|146	Infomap|LFR|147	LLP|LFR|0|148	LLP|LFR|0.1|149	LLP|LFR|0.2|150	LLP|LFR|0.3|151	LLP|LFR|0.4|152	LLP|LFR|0.5|153	LLP|LFR|0.6|154	LLP|LFR|0.7|155	LLP|LFR|0.8|156	LLP|LFR|0.9|157	LLP|LFR|1|158	Louvain|GN|159	Infomap|GN|160	LLP|GN|0|161	LLP|GN|0.1|162	LLP|GN|0.2|163	LLP|GN|0.3|164	LLP|GN|0.4|165	LLP|GN|0.5|166	LLP|GN|0.6|167	LLP|GN|0.7|168	LLP|GN|0.8|169	LLP|GN|0.9|170	LLP|GN|1|171	Louvain|LFR|172	Infomap|LFR|173	LLP|LFR|0|174	LLP|LFR|0.1|175	LLP|LFR|0.2|176	LLP|LFR|0.3|177	LLP|LFR|0.4|178	LLP|LFR|0.5|179	LLP|LFR|0.6|180	LLP|LFR|0.7|181	LLP|LFR|0.8|182	LLP|LFR|0.9|183	LLP|LFR|1|184	Louvain|GN|185	Infomap|GN|186	LLP|GN|0|187	LLP|GN|0.1|188	LLP|GN|0.2|189	LLP|GN|0.3|190	LLP|GN|0.4|191	LLP|GN|0.5|192	LLP|GN|0.6|193	LLP|GN|0.7|194	LLP|GN|0.8|195	LLP|GN|0.9|196	LLP|GN|1|197	Louvain|LFR|198	Infomap|LFR|199	LLP|LFR|0|200	LLP|LFR|0.1|201	LLP|LFR|0.2|202	LLP|LFR|0.3|203	LLP|LFR|0.4|204	LLP|LFR|0.5|205	LLP|LFR|0.6|206	LLP|LFR|0.7|207	LLP|LFR|0.8|208	LLP|LFR|0.9|209	LLP|LFR|1|210	Louvain|GN|211	Infomap|GN|212	LLP|GN|0|213	LLP|GN|0.1|214	LLP|GN|0.2|215	LLP|GN|0.3|216	LLP|GN|0.4|217	LLP|GN|0.5|218	LLP|GN|0.6|219	LLP|GN|0.7|220	LLP|GN|0.8|221	LLP|GN|0.9|222	LLP|GN|1|223	Louvain|LFR|224	Infomap|LFR|225	LLP|LFR|0|226	LLP|LFR|0.1|227	LLP|LFR|0.2|228	LLP|LFR|0.3|229	LLP|LFR|0.4|230	LLP|LFR|0.5|231	LLP|LFR|0.6|232	LLP|LFR|0.7|233	LLP|LFR|0.8|234	LLP|LFR|0.9|235	LLP|LFR|1|236	Louvain|GN|237	Infomap|GN|238	LLP|GN|0|239	LLP|GN|0.1|240	LLP|GN|0.2|241	LLP|GN|0.3|242	LLP|GN|0.4|243	LLP|GN|0.5|244	LLP|GN|0.6|245	LLP|GN|0.7|246	LLP|GN|0.8|247	LLP|GN|0.9|248	LLP|GN|1|249	Louvain|LFR|250	Infomap|LFR|251	LLP|LFR|0|252	LLP|LFR|0.1|253	LLP|LFR|0.2|254	LLP|LFR|0.3|255	LLP|LFR|0.4|256	LLP|LFR|0.5|257	LLP|LFR|0.6|258	LLP|LFR|0.7|259	LLP|LFR|0.8|260	LLP|LFR|0.9|261	LLP|LFR|1|262	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
1	0	2	0	2	1	2	1	2	2	2	2	2	2	0	2	0	2	1	0	1	2	2	2	1	2	2	1	0	2	1	1	0	0	2	1	2	2	2	4 	1	2	1	2	1	1	2	1	2	1	2	2	2	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	2	2	2	1	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	1	2	2	1	2	1	1	2	2	2	1	1	2	1	2	2	1	1	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	2	1	2	1	2	1	2	1	1	2	1	2	1	1	2	2	2	2	1	2	1	1	2	2	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	2	2	1	1	2	1	2	2	2	1	1	2	2	1	1	1	2	2	1	2	1	2	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	1	1	
1	0	3	0	0	1	1	0	0	2	0	1	3	3	0	3	0	2	1	0	0	0	2	2	0	0	3	1	0	3	2	2	0	2	3	0	3	0	3	4 	2	3	0	3	0	2	0	0	0	2	3	0	3	2	3	0	3	3	0	2	0	0	2	2	2	3	3	2	0	3	0	0	0	0	0	3	2	3	2	2	3	0	3	2	2	0	0	0	3	0	3	2	3	3	0	3	2	2	2	2	2	2	2	0	3	3	3	0	3	3	0	0	2	2	3	0	3	2	2	3	0	3	0	2	0	0	0	0	2	3	0	3	3	0	3	0	2	0	3	0	0	2	2	2	0	0	0	3	0	0	2	0	2	0	3	2	3	2	3	0	3	0	0	3	2	3	0	2	3	3	3	3	0	3	2	2	0	3	0	0	0	2	3	2	3	0	3	3	2	0	2	2	3	3	3	2	2	3	0	3	3	0	2	2	0	3	2	2	2	3	3	0	3	2	0	2	0	2	2	3	3	3	0	3	0	3	2	0	2	0	3	2	3	2	2	2	3	0	3	2	2	2	2	0	0	3	2	2	2	2	0	3	0	0	0	2	0	0	3	2	0	2	2	
1	0	4	0	1	0	3	2	0	0	0	0	0	4	0	4	0	0	0	0	0	1	3	3	0	0	4	1	0	4	1	1	0	0	4	1	2	2	0	1 	3	4	2	4	2	3	3	2	3	3	4	3	4	3	4	2	4	4	2	3	2	2	3	3	3	4	4	3	2	4	2	2	2	2	2	4	3	4	3	3	4	2	4	3	3	3	2	2	4	3	4	3	4	4	2	4	3	3	3	3	3	3	3	3	4	4	4	2	4	4	2	3	3	3	4	3	4	3	3	4	2	4	3	3	2	2	3	3	3	4	2	4	4	2	4	2	3	2	4	2	2	3	3	3	2	3	2	4	2	3	3	2	3	3	4	3	4	3	4	2	4	2	2	4	3	4	2	3	4	4	4	4	2	4	3	3	3	4	2	2	2	3	4	3	4	2	4	4	3	2	3	3	4	4	4	3	3	4	2	4	4	3	3	3	3	4	3	3	3	4	4	2	4	3	3	3	2	3	3	4	4	4	3	4	2	4	3	2	3	2	4	3	4	3	3	3	4	2	4	3	3	3	3	2	2	4	3	3	3	3	2	4	2	2	2	3	2	2	4	3	3	3	3	
1	0	5	0	1	0	3	2	1	0	3	0	0	5	0	5	0	2	0	0	0	0	0	4	2	0	0	1	0	5	2	0	0	0	3	0	4	0	0	3 	1	2	1	5	3	1	2	1	4	1	2	2	5	1	2	1	5	2	3	1	1	1	1	4	1	1	5	4	1	5	1	3	1	1	3	2	1	2	1	4	5	1	5	1	4	4	3	1	5	4	5	4	5	5	1	5	4	1	4	1	1	4	1	2	2	2	5	1	5	2	1	4	1	4	1	4	5	1	4	5	1	5	2	1	1	1	2	4	4	2	3	2	2	1	5	1	4	1	5	3	3	1	1	1	3	4	1	5	3	1	1	3	1	4	2	1	2	4	2	1	5	1	1	2	1	2	1	1	5	5	5	2	1	5	1	4	1	1	3	1	3	1	2	1	5	1	5	1	4	3	4	4	2	2	2	4	1	5	1	5	1	1	1	1	2	1	1	4	4	5	5	1	5	1	1	1	1	1	1	2	2	5	2	5	1	5	1	1	1	1	5	1	2	1	4	1	2	1	5	1	1	4	1	1	3	1	1	1	4	1	1	5	1	1	1	1	1	1	5	4	2	1	4	
1	0	6	0	1	1	4	0	3	3	4	2	0	3	0	6	0	1	1	0	2	3	3	0	3	2	5	1	0	6	0	0	0	0	2	0	5	3	4	4 	3	4	2	6	2	4	4	3	3	4	4	3	4	4	5	2	6	5	2	4	3	2	4	3	3	5	4	3	2	6	2	4	2	3	2	5	4	4	3	3	6	2	6	3	3	5	2	2	6	3	6	3	6	6	2	6	5	4	3	3	3	5	3	4	5	5	4	2	6	4	2	3	3	5	5	3	4	3	5	4	2	6	3	3	3	2	3	5	5	4	4	4	5	2	6	2	5	2	6	2	2	3	3	3	2	5	2	6	2	3	3	2	3	3	4	4	5	5	4	2	6	2	2	4	4	4	3	4	4	4	4	5	2	6	3	3	4	4	2	3	2	4	4	3	6	2	6	4	3	2	5	3	4	4	5	3	4	4	2	6	5	3	3	3	3	4	3	5	3	4	4	2	6	4	3	3	2	3	3	4	5	6	3	6	2	6	3	2	3	2	6	3	5	4	3	4	5	2	6	3	3	3	4	2	2	5	3	3	5	3	2	6	3	2	3	3	3	2	6	3	3	4	5	
1	0	7	0	2	1	5	2	4	4	2	3	2	2	0	7	0	2	1	0	3	4	3	5	1	2	6	1	0	7	1	3	0	0	4	2	4	2	4	3 	4	2	1	7	3	5	2	1	2	5	2	4	6	5	2	1	7	6	1	1	1	3	5	5	4	6	5	5	1	7	1	3	1	1	3	2	5	5	4	5	7	1	7	4	1	6	1	1	1	5	5	5	5	7	1	7	1	5	5	4	1	6	4	2	6	6	6	1	7	1	1	4	1	6	6	2	6	4	6	6	1	7	2	1	1	1	2	2	1	5	1	2	6	1	7	1	6	1	2	1	4	4	4	1	3	6	1	7	4	1	1	4	1	5	2	5	2	6	5	1	7	1	1	2	5	2	1	1	6	5	5	6	1	7	4	1	1	1	4	4	4	5	2	4	2	1	7	1	1	1	1	5	5	5	2	5	1	5	1	7	1	1	1	4	2	1	1	6	5	5	6	1	7	1	4	1	1	4	4	2	6	7	2	7	1	7	1	1	4	3	1	4	2	5	4	1	6	1	7	1	1	4	5	1	4	1	4	4	6	4	1	7	1	1	1	1	1	1	7	5	4	5	6	
1	0	8	1	2	1	6	2	1	4	0	4	2	2	0	8	0	0	1	0	3	4	2	3	1	2	5	1	0	8	2	0	0	0	2	3	6	0	0	4 	5	5	1	8	3	6	5	1	5	1	1	1	7	6	6	1	8	2	1	5	4	1	6	1	5	7	1	6	1	8	1	1	1	1	3	1	6	1	5	6	1	1	8	1	1	7	4	3	7	1	7	6	1	8	1	8	6	1	6	1	4	7	1	5	7	7	7	1	8	5	3	5	1	1	7	2	7	5	7	7	1	8	4	4	1	1	4	1	6	1	5	1	7	1	8	3	1	3	7	1	5	1	1	4	3	7	1	8	1	1	1	1	1	6	5	6	1	1	6	1	8	1	1	2	1	5	4	1	1	6	6	1	1	8	5	1	5	1	1	5	1	6	5	1	1	1	8	5	1	1	6	6	5	6	1	6	5	6	1	8	1	4	1	5	1	1	1	6	1	1	7	1	8	5	1	1	3	1	1	5	7	8	1	1	1	8	1	1	5	1	1	1	6	6	1	5	7	1	8	4	1	1	6	3	1	6	5	5	1	5	1	8	1	1	4	1	1	3	8	4	5	6	1	
1	0	9	0	1	0	1	2	5	0	0	0	0	6	0	9	0	3	0	0	0	1	0	6	4	0	0	1	0	9	2	0	0	3	1	0	0	4	5	4 	6	6	3	9	4	7	6	4	6	6	5	5	8	7	7	3	9	7	4	6	5	4	7	6	6	8	6	7	3	9	3	5	3	4	4	6	7	6	6	7	8	3	9	5	5	8	5	4	8	6	8	7	7	9	3	9	7	6	7	5	5	8	5	6	8	8	8	3	9	6	4	6	4	7	8	5	8	6	8	8	3	9	5	5	4	3	5	6	7	6	6	5	8	3	9	4	7	4	8	4	6	5	5	5	4	8	3	9	5	4	4	5	4	7	6	7	6	7	7	3	9	3	3	5	6	6	5	5	7	7	7	7	3	9	6	5	6	5	5	6	5	7	6	5	7	3	9	6	5	4	7	7	6	7	6	7	6	7	3	9	6	5	4	6	4	5	4	7	6	6	8	3	9	6	5	4	4	5	5	6	8	9	4	8	3	9	4	3	6	4	7	5	7	7	5	6	8	3	9	5	4	5	7	4	5	7	6	6	7	6	3	9	4	3	5	4	4	4	9	6	6	7	7	
