time,Label Propagation,SD1,Layered Label Propagation,SD2,Louvain,SD3,Infomap,SD4
0,0.85,0.038,0.709,0.019,1,0,0.444,0
0.1,0.82,0.037,0.641,0.018,0.994,0.018,0.444,0
0.2,0.737,0.047,0.603,0.02,0.967,0.036,0.444,0
0.3,0.458,0.099,0.535,0.018,0.934,0.048,0.444,0
0.4,0.399,0.087,0.489,0.025,0.929,0.053,0.444,0
0.5,0.268,0.026,0.382,0.018,0.111,0.145,0.444,0
0.6,0.183,0.029,0.296,0.019,0.007,0.017,0.444,0
0.7,0.209,0.026,0.309,0.017,0.044,0.06,0.444,0
0.8,0.166,0.02,0.236,0.011,0.001,0.002,0.444,0
0.9,0.163,0.026,0.222,0.02,0.001,0.001,0.444,0
1,0.157,0.025,0.22,0.019,0,0.001,0.444,0
