time,Label Propagation,SD1,Layered Label Propagation,SD2,Louvain,SD3,Infomap,SD4
0,0.137,0.019,0.197,0.01,0.009,0.007,0.36,0
0.1,0.165,0.011,0.284,0.022,0.007,0.012,0.435,0
0.2,0.161,0.02,0.273,0.019,0.017,0.021,0.435,0
0.3,0.145,0.021,0.22,0.011,0.01,0.013,0.36,0
0.4,0.198,0.027,0.315,0.01,0.024,0.014,0.454,0
0.5,0.164,0.024,0.212,0.012,0.003,0.007,0.36,0
0.6,0.211,0.024,0.304,0.019,0.016,0.013,0.454,0
0.7,0.196,0.028,0.264,0.019,0.013,0.011,0.433,0
0.8,0.188,0.025,0.258,0.01,0.027,0.027,0.433,0
0.9,0.173,0.022,0.285,0.014,0.013,0.011,0.48,0
1,0.188,0.015,0.286,0.023,0.006,0.005,0.48,0
